Ports,Region,Cntr Cycle Name,Cntr No,Cntr Size,cntr_trxn_id,Dpd Dpe,In Time,Is Empty,Max,orgname,Out Time,Transportmode
JNPT,Western,EXPORT,BATU3965974,20,,,2/8/2020 09:33,,26511949,Jawaharlal Nehru Port Container Terminal (JNPCT),5/8/2020 01:18,RAIL
Kattupalli Port,Southern,EXPORT,XINU8205230,40,,N,15/10/2019 16:10,,26517286,Kattupalli International Container Terminal (KICT),18/8/2020 07:02,TRUCK
Haldia,Eastern,EXPORT,MVIU2005136,20,,N,13/7/2020 19:14,,26518093,Haldia International Container Terminal (HICT),27/7/2020 00:00,RAIL
JNPT,Western,EXPORT,BMOU2851763,20,,Y,11/8/2020 19:35,,26519436,Nhava Sheva India Gateway Terminal (NSIGT),15/8/2020 05:14,TRUCK
APSEZ,Western,EXPORT,ECMU9437787,40,,,11/8/2020 22:20,,26521365,Mundra International Container Terminal (MICT),12/8/2020 09:47,RAIL
JNPT,Western,EXPORT,HDMU6540440,40,,N,4/8/2020 09:31,,26548754,Nhava Sheva India Gateway Terminal (NSIGT),7/8/2020 23:07,TRUCK
JNPT,Western,EXPORT,TCNU5135690,40,,N,3/8/2020 23:02,,26573942,Gateway Terminals India (GTI),8/8/2020 08:49,TRUCK
"KDS, Kolkata",Eastern,EXPORT,OOLU3696857,20,,,14/8/2020 00:29,,26588043,"Kolkata Dock System (KDS) , Kolkata Port",19/8/2020 14:52,TRUCK
APSEZ,Western,EXPORT,TLLU2459799,20,,Y,20/8/2020 07:18,N,26588677,Mundra International Container Terminal (MICT),20/8/2020 07:31,RAIL
"NMPT, New Mangalore",Southern,EXPORT,YMLU3067547,20,,,17/10/2019 19:32,,26589884,New Manglore Port Trust,10/8/2020 11:51,TRUCK
APSEZ,Western,EXPORT,MRKU6462360,40,,,21/8/2020 22:00,,26601125,Mundra International Container Terminal (MICT),23/8/2020 14:42,RAIL
"KDS, Kolkata",Eastern,EXPORT,TGHU7865148,,,,15/8/2020 15:25,,26609648,"Kolkata Dock System (KDS) , Kolkata Port",25/8/2020 08:42,TRUCK
"KDS, Kolkata",Eastern,EXPORT,TRHU3996476,20,,,27/7/2020 15:33,,26700500,"Kolkata Dock System (KDS) , Kolkata Port",4/8/2020 20:15,TRUCK
